Frame,People,Bikes,Buses,Cars,Trucks
265,0,0,0,9,4
266,0,0,0,9,5
267,0,0,0,7,5
268,0,0,0,8,5
269,0,0,0,9,4
270,0,0,0,8,4
271,0,0,0,8,5
272,0,0,0,8,5
273,0,0,0,8,7
274,0,0,0,8,5
275,0,0,0,9,4
276,0,0,0,7,5
277,0,0,0,8,5
278,0,0,0,9,5
279,0,0,0,8,5
280,0,0,0,9,5
281,0,0,0,10,3
282,0,0,0,8,5
283,0,0,0,9,5
284,0,0,0,8,6
285,0,0,0,10,6
286,0,0,0,10,4
287,0,0,0,9,4
288,0,0,0,9,3
289,0,0,0,9,4
290,0,0,0,9,4
291,0,0,0,8,5
292,0,0,0,6,5
293,0,0,0,7,5
294,0,0,0,7,4
295,0,0,0,7,5
296,0,0,0,8,5
297,1,0,0,10,4
298,0,0,0,6,4
299,0,0,0,6,5
300,1,0,0,7,5
301,0,0,0,9,5
302,0,0,0,9,5
303,0,0,0,8,5
304,0,0,0,8,5
305,0,0,0,8,5
306,0,0,0,8,5
307,0,0,0,9,5
308,0,0,0,10,3
309,0,0,0,10,4
310,0,0,0,11,3
311,0,0,0,10,3
312,0,0,0,9,5
313,0,0,0,9,4
314,1,0,0,10,3
315,0,0,0,9,3
316,1,0,0,10,5
317,1,0,0,10,5
318,0,0,0,11,4
319,0,0,0,10,3
320,0,0,0,10,2
321,0,0,0,12,2
322,0,0,0,10,1
323,0,0,0,10,1
324,0,0,0,10,2
325,0,0,0,10,3
326,0,0,0,10,2
327,0,0,0,10,2
328,0,0,0,11,2
329,0,0,0,9,2
330,0,0,0,8,2
331,0,0,0,8,3
332,0,0,0,8,2
333,0,0,0,9,2
334,0,0,0,8,2
335,0,0,0,10,1
336,0,0,0,9,1
337,0,0,0,9,1
338,0,0,0,7,2
339,0,0,0,8,1
340,0,0,0,7,2
341,0,0,0,8,1
342,0,0,0,7,2
343,0,0,0,6,3
344,0,0,0,8,3
345,0,0,0,7,3
346,0,0,0,7,1
347,0,0,0,8,2
348,0,0,0,8,2
349,0,0,0,8,2
350,0,0,0,8,2
351,0,0,0,8,1
352,0,0,0,8,1
353,0,0,0,8,1
354,0,0,0,9,2
355,0,0,0,8,2
356,0,0,0,9,3
357,0,0,0,9,2
358,0,0,0,9,2
359,0,0,0,9,2
360,0,0,0,11,2
361,0,0,0,11,3
362,0,0,0,10,3
363,0,0,0,11,4
364,0,0,0,9,3
365,0,0,0,10,2
366,0,0,0,10,2
367,0,0,0,9,2
368,0,0,0,10,2
369,0,0,0,10,2
370,0,0,0,9,2
371,0,0,0,9,2
372,0,0,0,9,3
373,0,0,0,10,3
374,0,0,0,8,5
375,0,0,0,9,4
376,0,0,0,8,6
377,0,0,0,8,6
378,0,0,0,9,2
379,0,0,0,9,4
380,0,0,0,10,3
381,0,0,0,10,3
382,0,0,0,8,5
383,0,0,0,7,3
384,0,0,0,8,3
385,1,0,0,9,3
386,1,0,0,10,3
387,1,0,0,8,3
388,1,0,0,7,4
389,1,0,0,8,3
390,1,0,0,7,4
391,0,0,0,7,4
392,0,0,0,6,4
393,0,0,0,6,4
394,0,0,0,7,4
395,0,0,0,7,5
396,0,0,0,8,4
397,0,0,0,8,4
398,0,0,0,8,5
399,0,0,0,8,5
400,0,0,0,6,5
401,0,0,0,8,4
402,0,0,0,6,5
403,0,0,0,5,4
404,0,0,0,6,4
405,0,0,0,6,5
406,0,0,0,5,4
407,0,0,0,5,4
408,0,0,0,5,4
409,0,0,0,5,4
410,0,0,0,5,4
411,0,0,0,5,4
412,0,0,0,5,4
413,0,0,0,5,4
414,0,0,0,6,4
415,0,0,0,5,4
416,0,0,0,5,4
417,0,0,0,5,4
418,0,0,0,6,4
419,0,0,1,6,4
420,0,0,1,5,3
421,0,0,1,5,4
422,0,0,0,6,4
423,0,0,0,6,4
424,0,0,0,6,4
425,0,0,0,6,4
426,0,0,0,6,3
427,0,0,0,4,3
428,0,0,0,4,3
429,0,0,0,4,2
430,0,0,0,4,2
431,0,0,0,5,2
432,0,0,0,4,2
433,0,0,0,5,2
434,0,0,0,6,2
435,0,0,0,7,2
436,0,0,0,5,2
437,0,0,0,5,2
438,0,0,0,5,2
439,0,0,0,6,2
440,0,0,0,5,2
441,0,0,0,5,2
442,0,0,0,5,2
443,0,0,0,5,2
444,0,0,0,5,2
