Frame,People,Bikes,Buses,Cars,Trucks
222,2,0,0,9,0
223,2,0,0,9,0
224,2,0,0,9,0
225,2,0,0,9,0
226,2,0,0,9,0
227,2,0,0,9,0
228,2,0,0,9,0
229,2,0,0,9,0
230,1,0,0,9,0
231,2,0,0,9,0
232,1,0,0,9,0
233,1,0,0,9,0
234,3,0,0,9,0
235,3,0,0,9,0
236,2,0,0,9,0
237,2,0,0,10,0
238,2,0,0,9,0
239,2,0,0,9,0
240,1,0,0,9,0
241,1,0,0,9,0
242,1,0,0,9,0
243,1,0,0,9,0
244,1,0,0,8,0
245,2,0,0,8,0
246,1,0,0,8,0
247,1,0,0,8,0
248,1,0,0,7,0
249,1,0,0,7,0
250,2,0,0,7,0
251,2,0,0,7,0
252,4,0,0,7,0
253,3,0,0,7,0
254,1,0,0,7,0
255,1,0,0,7,0
256,1,0,0,7,0
257,2,0,0,7,0
258,3,0,0,7,0
259,3,0,0,7,0
260,1,0,0,7,0
261,2,0,0,7,0
262,3,0,0,7,0
263,2,0,0,7,0
264,3,0,0,7,0
265,2,0,0,7,0
266,2,0,0,7,0
267,2,0,0,7,0
268,2,0,0,7,0
269,2,0,0,7,0
270,2,0,0,7,0
271,2,0,0,7,0
272,2,0,0,7,0
273,2,0,0,7,0
274,2,0,0,7,0
275,2,0,0,7,0
276,2,0,0,7,0
277,1,0,0,7,0
278,1,0,0,7,0
279,2,0,0,7,0
280,2,0,0,7,0
281,3,0,0,7,0
282,2,0,0,7,0
283,3,0,0,7,0
284,3,0,0,7,0
285,2,0,0,7,0
286,1,0,0,7,0
287,0,0,0,7,0
288,0,0,0,7,0
289,1,0,0,7,0
290,1,0,0,7,0
291,1,0,0,7,0
292,1,0,0,7,0
293,1,0,0,7,0
294,2,0,0,7,0
295,2,0,0,7,0
296,2,0,0,7,0
297,2,0,0,7,0
298,3,0,0,7,0
299,3,0,0,7,0
300,2,0,0,7,0
301,2,0,0,8,0
302,3,0,0,8,0
303,0,0,0,0,0
304,0,0,0,0,0
305,0,0,0,0,0
306,0,0,0,0,0
307,0,0,0,0,0
308,0,0,0,0,0
309,0,0,0,0,0
310,4,0,0,8,0
311,2,0,0,8,0
312,2,0,0,8,0
313,2,0,0,9,0
